passenger_id,flight_id
400000164,1011
400000165,1001
400000166,1002
400000167,1003
400000168,1004
400000169,1005
400000170,1006
400000171,1007
400000172,1008
400000173,1009
400000174,1010
400000175,1011
400000176,1001
400000177,1002
400000178,1003
400000179,1004
400000180,1005
400000181,1006
400000182,1007
400000183,1008
400000184,1009
400000185,1010
400000186,1011
400000187,1001
400000188,1002
400000189,1003
400000190,1004
400000191,1005
400000192,1006
400000193,1007
400000194,1008
400000195,1009
400000196,1010
400000197,1011
400000198,1001
400000199,1002
400000200,1003
400000201,1004
400000202,1005
400000203,1006
400000204,1007
400000205,1008
400000206,1009
400000207,1010
400000208,1011
400000209,1001
400000210,1002
400000211,1003
400000212,1004
400000213,1005
400000214,1006
400000215,1007
400000216,1008
400000217,1009
400000218,1010
400000219,1011
400000220,1001
400000221,1002
400000222,1003
400000223,1004
400000224,1005
400000225,1006
400000226,1007
400000227,1008
400000228,1009
400000229,1010
400000230,1011
400000231,1001
400000232,1002
400000233,1003
400000234,1004
400000235,1005
400000236,1006
400000237,1007
400000238,1008
400000239,1009
400000240,1010
400000241,1011
400000242,1001
400000243,1002
400000244,1003
400000245,1004
400000246,1005
400000247,1006
400000248,1007
400000249,1008
400000250,1009
400000251,1010
400000252,1011
400000253,1001
400000254,1002
400000255,1003
400000256,1004
400000257,1005
400000258,1006
400000259,1007
400000260,1008
400000261,1009
400000262,1010
400000263,1011
400000264,1001
400000265,1002
400000266,1003
400000267,1004
400000268,1005
400000269,1006
400000270,1007
400000271,1008
400000272,1009
400000273,1010
400000274,1011
400000275,1001
400000276,1002
400000277,1003
400000278,1004
400000279,1005
400000280,1006
400000281,1007
400000282,1008
400000283,1009
400000284,1010
400000285,1011
400000286,1001
400000287,1002
400000288,1003
400000289,1004
400000290,1005
400000291,1006
400000292,1007
400000293,1008
400000294,1009
400000295,1010
400000296,1011
400000297,1001
400000298,1002
400000299,1003
400000300,1004
400000301,1005
400000302,1006
400000303,1007
400000304,1008
400000305,1009
400000306,1010
400000307,1011
400000308,1001
400000309,1002
400000310,1003
400000311,1004
400000312,1005
400000313,1006
400000314,1007
400000315,1008
400000316,1009
400000317,1010
400000318,1011
400000319,1001
400000320,1002
400000321,1003
400000322,1004
400000323,1005
400000324,1006
400000325,1007
400000326,1008
400000327,1009
400000328,1010
400000329,1011
400000330,1001
400000331,1002
400000332,1003
400000333,1004
400000334,1005
400000335,1006
400000336,1007
400000337,1008
400000338,1009
400000339,1010
400000340,1011
400000341,1001
400000342,1002
400000343,1003
400000344,1004
400000345,1005
400000346,1006
400000347,1007
400000348,1008
400000349,1009
400000350,1010
400000351,1011
400000352,1001
400000353,1002
400000354,1003
400000355,1004
400000356,1005
400000357,1006
400000358,1007
400000359,1008
400000360,1009
400000361,1010
400000362,1011
400000363,1001
400000364,1002
400000365,1003
400000366,1004
400000367,1005
400000368,1006
400000369,1007
400000370,1008
400000371,1009
400000372,1010
400000373,1011
400000374,1001
400000375,1002
400000376,1003
400000377,1004
400000378,1005
400000379,1006
400000380,1007
400000381,1008
400000382,1009
400000383,1010
400000384,1011
400000385,1001
400000386,1002
400000387,1003
400000388,1004
400000389,1005
400000390,1006
400000391,1007
400000392,1008
400000393,1009
400000394,1010
400000395,1011
400000396,1001
400000397,1002
400000398,1003
400000399,1004
400000400,1005
400000401,1006
400000402,1007
400000403,1008
400000404,1009
400000405,1010
400000406,1011
400000407,1001
400000408,1002
400000409,1003
400000410,1004
400000411,1005
400000412,1006
400000413,1007
400000414,1008
400000415,1009
400000416,1010
400000417,1011
400000418,1001
400000419,1002
400000420,1003
400000421,1004
400000422,1005
400000423,1006
400000424,1007
400000425,1008
400000426,1009
400000427,1010
400000428,1011
400000429,1001
400000430,1002
400000431,1003
400000432,1004
400000433,1005
400000434,1006
400000435,1007
400000436,1008
400000437,1009
400000438,1010
400000439,1011
400000440,1001
400000441,1002
400000442,1003
400000443,1004
400000444,1005
400000445,1006
400000446,1007
400000447,1008
400000448,1009
400000449,1010
400000450,1011
400000451,1001
400000452,1002
400000453,1003
400000454,1004
400000455,1005
400000456,1006
400000457,1007
400000458,1008
400000459,1009
400000460,1010
400000461,1011
400000462,1001
400000463,1002
400000464,1003
400000465,1004
400000466,1005
400000467,1006
400000468,1007
400000469,1008
400000470,1009
400000471,1010
400000472,1011
400000473,1001
400000474,1002
400000475,1003
400000476,1004
400000477,1005
400000478,1006
400000479,1007
400000480,1008
400000481,1009
400000482,1010
400000483,1011
400000484,1001
400000485,1002
400000486,1003
400000487,1004
400000488,1005
400000489,1006
400000490,1007
400000491,1008
400000492,1009
400000493,1010
400000494,1011
400000495,1001
400000496,1002
400000497,1003
400000498,1004
400000499,1005
400000500,1006
400000501,1007
400000502,1008
400000503,1009
400000504,1010
400000505,1011
400000506,1001
400000507,1002
400000508,1003
400000509,1004
400000510,1005
400000511,1006
400000512,1007
400000513,1008
400000514,1009
400000515,1010
400000516,1011
400000517,1001
400000518,1002
400000519,1003
400000520,1004
400000521,1005
400000522,1006
400000523,1007
400000524,1008
400000525,1009
400000526,1010
400000527,1011
400000528,1001
400000529,1002
400000530,1003
400000531,1004
400000532,1005
400000533,1006
400000534,1007
400000535,1008
400000536,1009
400000537,1010
400000538,1011
400000539,1001
400000540,1002
400000541,1003
400000542,1004
400000543,1005
400000544,1006
400000545,1007
400000546,1008
400000547,1009
400000548,1010
400000549,1011
400000550,1001
400000551,1002
400000552,1003
400000553,1004
400000554,1005
400000555,1006
400000556,1007
400000557,1008
400000558,1009
400000559,1010
400000560,1011
400000561,1001
400000562,1002
400000563,1003
400000564,1004
400000565,1005
400000566,1006
400000567,1007
400000568,1008
400000569,1009
400000570,1010
400000571,1011
400000572,1001
400000573,1002
400000574,1003
400000575,1004
400000576,1005
400000577,1006
400000578,1007
400000579,1008
400000580,1009
400000581,1010
400000582,1011
400000583,1001
400000584,1002
400000585,1003
400000586,1004
400000587,1005
400000588,1006
400000589,1007
400000590,1008
400000591,1009
400000592,1010
400000593,1011
400000594,1001
400000595,1002
400000596,1003
400000597,1004
400000598,1005
400000599,1006
